,source_id,target_id,distancia_hidraulica,distancia_euclidea,tipo_relacion,detalle_rio
293,AV-0108/2010,C342,,19909.38,ASIGNADO_TEORICO,NO_MAPEAR
294,AV-0098/2010,C342,,21701.82,ASIGNADO_TEORICO,NO_MAPEAR
295,AV-0038/2017,C313,,27561.98,ASIGNADO_TEORICO,NO_MAPEAR
296,AV-0103/2009,C313,,29104.21,ASIGNADO_TEORICO,NO_MAPEAR
297,AV-0035/2018,C313,,32754.58,ASIGNADO_TEORICO,NO_MAPEAR
298,AV-0041/1998,C310,,35508.81,ASIGNADO_TEORICO,NO_MAPEAR
299,AV-0096/2011,C310,,36503.96,ASIGNADO_TEORICO,NO_MAPEAR
300,AV-0001/2019,C310,,36668.72,ASIGNADO_TEORICO,NO_MAPEAR
301,AV-0043/2017,C310,,31086.26,ASIGNADO_TEORICO,NO_MAPEAR
302,AV-0037/2015,C342,,18499.39,ASIGNADO_TEORICO,NO_MAPEAR
303,AV-0100/2010,C326,,20629.83,ASIGNADO_TEORICO,NO_MAPEAR
304,AV-0164/2008,C342,,18450.08,ASIGNADO_TEORICO,NO_MAPEAR
305,AV-0101/2010,C326,,45818.83,ASIGNADO_TEORICO,NO_MAPEAR
306,AV-0111/2010,C313,,45358.95,ASIGNADO_TEORICO,NO_MAPEAR
